1000001,900069042,1,1,10,1,2,0,3,,,8370
1000001,900248942,1,1,10,1,2,0,1,6,14,15200
1000001,900087842,1,1,10,1,2,0,12,,,1422
1000001,900085442,1,1,10,1,2,0,12,14,,1057
1000002,900285442,0,55,16,3,4,0,8,,,7969
1000003,900193542,0,3,15,1,3,0,1,2,,15227
1000004,900184942,0,5,7,2,2,1,1,8,17,19215
1000004,900346142,0,5,7,2,2,1,1,15,,15854
1000004,90097242,0,5,7,2,2,1,1,16,,15686
1000005,900274942,0,3,20,1,1,1,8,,,7871
1000005,900251242,0,3,20,1,1,1,5,11,,5254
1000005,900014542,0,3,20,1,1,1,8,,,3957
1000005,900031342,0,3,20,1,1,1,8,,,6073
1000005,900145042,0,3,20,1,1,1,1,2,5,15665
1000006,900231342,1,7,9,1,1,0,5,8,14,5378
1000006,900190242,1,7,9,1,1,0,4,5,,2079
1000006,90096642,1,7,9,1,1,0,2,3,4,13055
1000006,900058442,1,7,9,1,1,0,5,14,,8851
1000007,900036842,0,4,1,2,1,1,1,14,16,11788
1000008,900249542,0,3,12,3,4,1,1,5,15,19614
1000008,900220442,0,3,12,3,4,1,5,14,,8584
1000008,900156442,0,3,12,3,4,1,8,,,9872
1000008,900213742,0,3,12,3,4,1,8,,,9743
1000008,900214442,0,3,12,3,4,1,8,,,5982
1000008,900303442,0,3,12,3,4,1,1,8,14,11927
1000009,900135742,0,3,17,3,0,0,6,8,,16662
1000009,900039942,0,3,17,3,0,0,8,,,5887
1000009,900161442,0,3,17,3,0,0,5,14,,6973
1000009,900078742,0,3,17,3,0,0,5,8,14,5391
1000010,900085942,1,4,1,2,4,1,2,4,8,16352
1000010,900118742,1,4,1,2,4,1,5,11,,8886
1000010,900297942,1,4,1,2,4,1,8,,,5875
1000010,900266842,1,4,1,2,4,1,5,,,8854
1000010,900058342,1,4,1,2,4,1,3,4,,10946
1000010,900032442,1,4,1,2,4,1,5,,,5152
1000010,900105942,1,4,1,2,4,1,5,,,7089
1000010,900182642,1,4,1,2,4,1,2,4,9,12909
1000010,900186942,1,4,1,2,4,1,5,12,,8770
1000010,900155442,1,4,1,2,4,1,1,11,15,15212
1000010,900221342,1,4,1,2,4,1,1,2,5,15705
1000010,900087242,1,4,1,2,4,1,14,,,7947
1000010,900111142,1,4,1,2,4,1,1,15,16,18963
1000010,900259342,1,4,1,2,4,1,5,9,,8718
1000010,90094542,1,4,1,2,4,1,2,4,9,16406
1000010,900148642,1,4,1,2,4,1,6,10,13,12642
1000010,900312142,1,4,1,2,4,1,8,,,10007
1000010,900113242,1,4,1,2,4,1,1,6,8,11562
1000011,900192642,1,3,1,3,1,0,8,17,,6171
1000011,900110842,1,3,1,3,1,0,1,2,5,19327
1000011,900189642,1,3,1,3,1,0,8,13,,8027
1000012,900304242,0,3,12,3,2,0,1,6,,15246
1000012,900365242,0,3,12,3,2,0,5,8,,6865
1000013,900129542,0,5,1,3,3,1,8,14,,5839
1000013,900140742,0,5,1,3,3,1,1,15,,15912
1000013,900182342,0,5,1,3,3,1,1,5,6,12107
1000014,900276642,0,4,0,3,0,0,8,11,,5848
1000015,900334242,0,3,7,1,1,0,1,8,,19653
1000015,900247542,0,3,7,1,1,0,8,16,,5958
1000015,900338442,0,3,7,1,1,0,1,16,,11415
1000015,900275142,0,3,7,1,1,0,5,8,,5380
1000015,900333042,0,3,7,1,1,0,5,8,,3594
1000015,900166242,0,3,7,1,1,0,8,,,4209
1000015,900161942,0,3,7,1,1,0,5,8,,5407
1000015,900348242,0,3,7,1,1,0,8,,,7803
1000015,900042142,0,3,7,1,1,0,1,2,6,11458
1000016,900244242,1,4,0,3,0,1,1,2,15,11755
1000016,900217742,1,4,0,3,0,1,5,14,,8702
1000017,900019342,0,7,1,3,0,0,1,6,15,15872
1000017,900100642,0,7,1,3,0,0,5,15,,8609
1000017,900073842,0,7,1,3,0,0,1,15,17,15172
1000018,900366542,1,2,3,2,3,0,5,,,1780
1000018,900190742,1,2,3,2,3,0,3,4,9,10754
1000018,900151842,1,2,3,2,3,0,4,8,9,2802
1000018,900112642,1,2,3,2,3,0,1,2,5,19473
1000018,900118442,1,2,3,2,3,0,1,2,,19672
1000018,900034442,1,2,3,2,3,0,1,14,16,19313
1000018,900222242,1,2,3,2,3,0,1,2,13,15182
1000018,900118342,1,2,3,2,3,0,2,3,15,15985
1000018,900324742,1,2,3,2,3,0,2,9,14,16454
1000018,900190042,1,2,3,2,3,0,3,4,5,13551
1000018,90094142,1,2,3,2,3,0,4,5,,697
1000018,900138542,1,2,3,2,3,0,5,6,,7030
1000018,900158542,1,2,3,2,3,0,5,6,13,5430
1000018,900157542,1,2,3,2,3,0,8,14,,8011
1000018,900044142,1,2,3,2,3,0,8,16,,5912
1000019,900112542,0,1,10,1,3,0,1,11,15,7746
1000019,900339542,0,1,10,1,3,0,1,,,19525
1000019,900127842,0,1,10,1,3,0,1,2,15,11959
1000019,900125942,0,1,10,1,3,0,1,2,15,19172
1000019,900251342,0,1,10,1,3,0,5,11,,8773
1000019,900249642,0,1,10,1,3,0,3,5,,11023
1000019,900124842,0,1,10,1,3,0,11,,,4654
1000019,900250642,0,1,10,1,3,0,11,,,4664
1000019,900058142,0,1,10,1,3,0,3,4,12,8290
