    -18.83,      2.45,     59.80,    -87.30,     69.65,    -48.09,     61.00,    -28.20,     60.87,    -18.38,    -25.18,     18.08,     22.61,    -14.95,    -12.40,     13.96,      9.55,    -24.35,     26.00,    -23.08,     26.58,    -10.47,     -6.06,     16.04,     17.74,    -10.79,      9.27,     10.81,      2.27,      2.49,    -13.84,     -3.05,      3.66,     15.26,      0.22,      9.91,      4.34,     11.66,     -2.03,     12.06,    -47.52,     51.31,    -46.86,     74.29,    -59.54,     26.36,    -17.32,     45.39,    -47.25,    197.63,    199.87,   -186.03,    -84.05,    118.41,   -131.72,    358.45,    444.03,   -197.18,    140.23,   -249.40,      0.00
     50.10,    -75.59,     63.93,    -24.81,     -4.60,     44.82,     -8.34,     38.04,     14.50,    -32.92,      6.03,     26.63,     18.43,     26.76,    -39.38,     35.65,     -3.60,      5.87,    -20.23,     28.67,    -15.94,     -2.06,     -5.14,     16.52,      2.22,      2.28,      9.93,    -22.01,     33.98,    -33.94,     29.01,     -2.76,    -22.92,     36.32,    -40.09,     29.92,     24.53,    -38.17,     30.97,    -24.22,     27.46,    -26.32,     12.58,     11.13,     -9.73,     -6.68,      0.98,     30.60,     43.82,    -98.08,     40.06,     27.31,     18.62,   -116.49,     60.35,    611.43,    289.12,   -236.42,   -137.78,     38.46,      0.00
    -63.53,    -55.34,     88.41,     22.44,    -34.55,     20.91,     20.47,      6.17,     24.86,     21.54,    -42.01,     43.92,     34.43,    -23.37,     15.85,     12.93,    -24.68,     11.25,      9.16,     -8.03,      6.64,      4.16,     -8.73,     11.04,     33.93,    -35.46,     -0.91,     45.72,    -51.20,     36.23,     10.36,     -4.02,    -16.36,     17.91,     -4.21,      1.78,     -1.46,     17.42,      3.64,    -14.17,     32.12,    -27.11,     29.86,    -34.12,     83.87,   -152.93,    179.76,   -100.38,      2.36,    -32.33,   -193.98,    359.15,    -66.59,   -138.95,     67.56,    458.96,    879.13,    -45.38,   -316.08,    154.23,      0.00
      2.66,    -80.52,    156.12,    -64.43,     17.22,    -52.24,     48.68,     31.04,    -31.44,     44.27,    -53.31,     30.89,    -19.31,     40.13,    -37.66,     46.08,    -41.87,     13.95,      4.86,      4.58,     -6.42,     -4.91,     11.66,      2.21,     -4.67,      6.22,     21.28,    -21.88,      5.77,     -4.72,      9.27,     -1.37,     31.11,    -31.81,     26.89,     -8.94,    -18.54,     32.53,    -11.53,     38.98,    -23.87,     22.69,    -17.67,      3.97,      4.72,    -25.30,     75.92,    -47.80,     27.83,     68.33,     41.42,     44.52,   -171.40,    254.52,     46.66,     98.65,     27.37,   -112.10,   -423.64,    659.03,      0.00
    144.23,    -14.39,      6.37,    -44.62,     29.61,    -31.68,     10.46,     17.10,     -5.55,     32.35,    -32.80,     26.46,     28.40,    -19.52,     11.46,    -11.91,     14.80,     36.89,    -76.25,     56.79,    -13.87,    -15.77,     14.24,     10.81,     20.26,    -36.63,     17.84,     20.75,     -8.16,      1.88,     -2.39,      7.31,      2.91,     -1.61,     -9.62,     15.16,     12.28,     -9.23,      9.51,     -0.84,     -7.89,     10.61,      8.98,    -10.47,      7.37,    -19.45,     38.46,    -38.46,     10.44,    -44.26,    118.93,   -161.34,     95.18,     84.07,    202.30,   -275.64,    174.06,   -132.51,     70.86,    278.80,      0.00
      7.40,     43.28,    -11.63,    -18.49,      5.45,     -5.94,      8.04,     18.90,    -15.30,     41.17,    -50.81,     40.07,     27.69,    -14.34,     28.61,      9.53,    -25.72,     25.46,    -15.04,     15.03,    -17.65,    -13.36,     34.14,    -11.29,    -17.41,     34.87,     -9.25,      2.77,     -9.24,      7.71,      9.50,      5.60,    -11.40,     16.93,    -23.27,     16.34,     -0.53,      3.97,      5.92,      6.01,    -13.60,     34.47,    -41.73,     34.72,    -31.81,     21.35,    -11.32,      7.88,     13.62,     -0.28,     35.24,     36.39,   -122.03,     -2.03,   -100.77,    303.76,     85.99,    -93.64,    -26.81,    201.14,      0.00
    -69.21,     47.81,     58.33,      3.17,      8.75,     54.98,    -45.14,     20.66,    -41.27,     75.51,    -41.97,      1.14,    -10.23,     13.00,      6.63,      8.56,     -9.86,     17.10,    -26.26,    -14.17,     33.16,    -19.51,     39.69,    -16.77,    -11.32,     47.59,    -44.72,     41.71,    -19.57,    -16.55,     27.80,      3.04,    -12.26,     13.05,    -22.99,     23.25,     19.09,    -29.13,     28.40,    -12.52,     34.64,    -28.78,     15.40,     -8.31,     16.53,    -47.42,     53.68,     -5.43,     47.18,   -100.90,    -16.96,     45.34,    403.11,     92.61,    -94.33,    190.08,     15.76,    262.39,   -606.48,    535.30,      0.00
     98.81,    -59.23,    141.15,   -134.75,     72.98,    -36.42,     43.56,    -19.72,    -16.98,     38.21,    -20.81,     15.26,     10.30,    -24.35,     46.62,    -33.95,     46.82,    -66.72,     29.42,     15.41,      9.40,    -30.45,      7.78,     25.58,     11.85,    -10.57,     24.74,      0.56,     -4.61,     -7.47,     12.08,     -9.71,    -16.70,     36.94,     -0.74,     -5.82,     -7.57,     14.45,      0.45,     14.03,    -28.01,     21.74,     -3.86,      0.66,     -9.84,     14.42,     29.06,    -46.67,      9.78,     58.61,    -48.36,     -8.63,    188.08,   -104.79,    209.18,    129.90,    153.96,   -168.26,    -99.38,    151.97,      0.00
     15.23,      5.13,     31.66,    -13.08,     12.45,    -14.24,     36.87,    -26.29,     -4.28,     30.76,    -30.81,     18.20,     13.53,     21.28,    -24.41,     30.90,    -54.12,     29.41,     -0.22,      0.44,      6.09,      5.84,      2.74,      0.18,    -12.96,      8.92,     25.50,    -13.67,     20.74,    -27.51,     11.08,      0.02,      2.22,      4.21,     11.54,     -4.41,     -7.73,     24.12,    -24.59,     17.81,      2.97,    -20.07,     28.63,    -11.19,     -4.12,    -11.77,     28.10,     16.58,     26.57,    219.34,   -230.62,    126.72,    101.00,    234.43,   -134.53,    -89.67,     53.94,     19.56,     50.16,    -40.64,      0.00
     30.45,    -46.90,     73.26,    -40.70,      1.60,    -11.17,     48.98,    -20.91,     28.93,    -29.49,      9.58,      2.04,      9.31,      2.60,    -13.39,      3.27,      8.42,      1.30,    -12.38,      1.36,     18.09,    -15.85,      9.19,     15.08,     25.96,    -17.49,      3.78,     17.63,    -19.82,     24.55,     -6.27,      0.55,     13.80,    -10.43,     -1.09,      6.22,     -0.35,      8.27,     -4.28,      1.99,    -11.17,     10.23,     -2.89,     26.01,    -31.90,      5.32,     23.67,     -2.74,    -21.97,     95.94,     36.57,   -175.09,    502.17,    244.07,     58.07,    -60.80,    -82.23,   -166.29,      0.17,    -17.92,      0.00
